run_id,date,phase,exp_id,task_type,ssl_model,ssl_checkpoint,layer_strategy,layer,dim_red,dim,feature_fusion,classifier,loss,imbalance_method,augmentation,split_scheme,fold,seed,threshold_policy,macro_f1,per_class_f1_json,auprc,notes,status,artifacts_path,plan_order,week_window,thematic_group,core35_flag,must_run,depends_on_exp_ids,stop_go_gate,priority
manual_a1_001,2026-03-25,Phase 1,A1,multi-class,"Wav2Vec2-base/large;HuBERT-large;WavLM-large;Data2Vec-large;Whisper-large",pretrained,single-layer-all,all,None,full,None,CNN-1D,BCE/CE,None,None,LOSO,all,42,,0.8400,,,Verified from results/wav2vec_as_feature_op.txt best-layer mean test F1 across 5 types,done,WAV2VEC_SVM_BLOCK/results_wav2vec_svm_block.txt,1,Weeks 1-2,Layer-wise,YES,YES,,Stable top-layer shortlist across folds,Critical
manual_a7_002,2026-03-25,Phase 1,A7,analysis,All-5-SSL,pretrained,similarity-probing,all,N/A,N/A,None,N/A,N/A,None,None,LOSO,fold0,42,,,,,Completed for current implemented scope with cached aliases wav2vec2-base and benchmark-w2v2-base; heatmaps generated,done,results/tables/a7_run_report.json,2,Week 2,Layer-wise,YES,YES,A1,Consistent representational groups identified,High
manual_a8_001,2026-03-25,Phase 1,A8,analysis,wav2vec2-base,pretrained,transition-probing,"1|3|6|9|12",None,full,None,transition-drift-metrics,N/A,None,None,LOSO,fold0,42,,,,,Completed transition drift analysis; largest shift observed at layer 9->12 with low cosine similarity,done,results/tables/a8_run_report.json,3,Week 2,Layer-wise,YES,NO,A1,Clear transition points validated,Medium
manual_b1_001,2026-03-25,Phase 1,B1,multi-class,wav2vec2-base,pretrained,best-layer,9,PCA,"768|512|256|128|64|32|16|8",None,PCA-diagnostics,unsupervised,None,None,LOSO,fold0,42,,,,,Full-dataset run completed on 20,906 samples; best reconstruction at dim=768 and tradeoff curve across target dims saved,done,results/tables/b1_run_report.json,4,Week 3,Dimensionality,YES,YES,A1,Reduced dim matches or beats full-dim,Critical
manual_a2_001,2026-03-25,Phase 2,A2,multi-class,wav2vec2-base,pretrained,weighted-sum,"1|3|6|9|12",None,full,None,WeightedSum+Linear,CrossEntropy,None,None,LOSO,fold0,42,,0.559191,,,Full-dataset GPU run complete for target=Block; best learned layer weights favor layer 6 then 9,done,results/tables/a2_run_report.json,5,Week 4,Layer-wise,YES,YES,A1|B1,Consistent fold gain over A1+B1 baseline,High
manual_a3_001,2026-03-25,Phase 2,A3,multi-class,wav2vec2-base,pretrained,gumbel-hard-select,"1|3|6|9|12",None,full,None,BiLSTM+Attention,CrossEntropy,None,None,LOSO,fold0,42,,0.513733,,,Full-dataset GPU run complete for target=Block; hard-selected layer=9 while highest soft weight remained layer 6,done,results/tables/a3_run_report.json,6,Week 4,Layer-wise,YES,YES,A1|B1,Beats weighted-sum or improves stability,High
manual_a4_001,2026-03-25,Phase 2,A4,multi-class,wav2vec2-base,pretrained,dimension-wise-gumbel,"1|3|6|9|12",None,full,None,CNN-1D,CrossEntropy,None,None,LOSO,fold0,42,,0.000000,,,Full-dataset GPU run complete for target=Block; layer selection remained near-uniform and classifier collapsed to majority-class behavior,done,results/tables/a4_run_report.json,7,Week 5,Layer-wise,YES,NO,A3,Notable gain without instability,Medium
manual_a5_001,2026-03-25,Phase 2,A5,multi-class,wav2vec2-base,pretrained,hierarchical-conv-across-layers,"1|3|6|9|12",None,full,None,MLP,CrossEntropy,None,None,LOSO,fold0,42,,0.564161,,,Full-dataset GPU run complete for target=Block; hierarchical conv aggregation outperformed A3 and selected strongest salience at layer 6,done,results/tables/a5_run_report.json,8,Week 5,Layer-wise,YES,NO,A2,Beats or matches A2 with lower variance,Medium
manual_a6_001,2026-03-25,Phase 2,A6,multi-class,wav2vec2-base,pretrained,group-weighted-sum,early-mid-late,PCA,32,None,CNN-1D,CrossEntropy,None,None,LOSO,fold0,42,,0.302335,,,Full-dataset GPU run complete for target=Block; learned group weights favored mid layers and underperformed A5 on F1,done,results/tables/a6_run_report.json,9,Week 5,Layer-wise,YES,NO,B1|A2,Group-fusion gain across >=3 folds,Medium
manual_c1_001,2026-03-25,Phase 2,C1,multi-class,wav2vec2-base,pretrained,best-layer,9,PCA,"32 + MFCC-sweep",SSL+MFCC,CNN-1D,CrossEntropy,None,None,LOSO,fold0,42,,0.526818,,,Full-dataset GPU run complete for target=Block; best MFCC fusion dimension was 52 with strongest F1 in sweep,done,results/tables/c1_run_report.json,10,Week 5,Fusion,YES,YES,B1,Fusion improves macro-F1 on >=3 folds,Critical
